,id,author,date,text,text_tokenised,token_count
0,sp19_4,Tino Chrupalla,2017-11-21,"Aber auch die Grünen will ich nicht aus der Verantwortung entlassen. Schließlich hat die rot-grüne Regierung diese Fehlentwicklung eingeleitet. Sie alle, die Sie hier vor mir sitzen, haben sich der Klimaschutzideologie verschrieben und ohne Rücksicht auf Verluste die Energiewende durchgedrückt. Unter Ihrer Ägide wollte Deutschland Vorreiter in Sachen „globale Energiewende“ werden, allerdings ohne ein sauberes Konzept auszuarbeiten, wie dieser Wandel langfristig vonstattengehen soll. Betriebe müssen Planungssicherheit haben. Wir haben es hier jedoch mit einer kopflosen Energiepolitik zu tun, die unsere besten Unternehmen ins Straucheln bringt. Die SPD hat diesen Irrsinn mitgetragen, anstatt sich über die Konsequenzen für die Arbeiter und deren Familien Gedanken zu machen. Eine der treibenden Kräfte in Sachen Energiewende waren die SPD-geführten Gewerkschaften, allen voran die IG Metall, die sich sehr früh für den Klimaschutz starkmachten.",Aber auch die Grünen will ich nicht aus der Verantwortung entlassen  Schließlich hat die rotgrüne Regierung diese Fehlentwicklung eingeleitet  Sie alle  die Sie hier vor mir sitzen  haben sich der Klimaschutzideologie verschrieben und ohne Rücksicht auf Verluste die Energiewende durchgedrückt  Unter Ihrer Ägide wollte Deutschland Vorreiter in Sachen „ globale Energiewende “ werden  allerdings ohne ein sauberes Konzept auszuarbeiten  wie dieser Wandel langfristig vonstattengehen soll  Betriebe müssen Planungssicherheit haben  Wir haben es hier jedoch mit einer kopflosen Energiepolitik zu tun  die unsere besten Unternehmen ins Straucheln bringt  Die SPD hat diesen Irrsinn mitgetragen  anstatt sich über die Konsequenzen für die Arbeiter und deren Familien Gedanken zu machen  Eine der treibenden Kräfte in Sachen Energiewende waren die SPDgeführten Gewerkschaften  allen voran die IG Metall  die sich sehr früh für den Klimaschutz starkmachten,131
1,sp19_4,Tino Chrupalla,2017-11-21,"Mit gesunden Heimatmärkten hätten wir das Problem nicht; aber die Vorgabe des Zentralkomitees in Berlin war nun einmal die totale Abkehr von fossilen Brennstoffen. Und jetzt haben wir das Nachsehen. Glücklicherweise geben Sie inzwischen selbst zu: Die Energiewende ist eine Farce. Ich zitiere die Aussage eines Fachmanns, die am Wochenende in der „Sächsischen Zeitung“ zu lesen war.",Mit gesunden Heimatmärkten hätten wir das Problem nicht  aber die Vorgabe des Zentralkomitees in Berlin war nun einmal die totale Abkehr von fossilen Brennstoffen  Und jetzt haben wir das Nachsehen  Glücklicherweise geben Sie inzwischen selbst zu  Die Energiewende ist eine Farce  Ich zitiere die Aussage eines Fachmanns  die am Wochenende in der „ Sächsischen Zeitung “ zu lesen war,59
2,sp19_9,Heiko Heßenkemper,2017-11-21,Zurück zu Siemens. Hier ist jetzt die Kraftwerkssparte betroffen. Aber wer ist denn verantwortlich für die unstrukturierte Energiewende bei uns in Deutschland? Und global? Die von der politisch-medialen Klasse so gefeierten Klimaschutzziele und -abkommen gehen natürlich zulasten der Kraftwerksbauer. Hier wäre mehr Aufrichtigkeit gegenüber den betroffenen Arbeitnehmern zu wünschen.,Zurück zu Siemens  Hier ist jetzt die Kraftwerkssparte betroffen  Aber wer ist denn verantwortlich für die unstrukturierte Energiewende bei uns in Deutschland  Und global  Die von der politischmedialen Klasse so gefeierten Klimaschutzziele und abkommen gehen natürlich zulasten der Kraftwerksbauer  Hier wäre mehr Aufrichtigkeit gegenüber den betroffenen Arbeitnehmern zu wünschen,49
3,sp19_14,Marc Bernhard,2017-11-21,"Stattdessen führt jedoch eine von Ihnen grünäugig entworfene und von einem SPD-geführten Ministerium dilettantisch umgesetzte Energiewende dazu, dass ein weiterer Industriegigant – ich spreche hier von Siemens, darüber haben wir heute schon einmal gesprochen – vor einem massiven Stellenabbau steht.",Stattdessen führt jedoch eine von Ihnen grünäugig entworfene und von einem SPDgeführten Ministerium dilettantisch umgesetzte Energiewende dazu  dass ein weiterer Industriegigant   – ich spreche hier von Siemens  darüber haben wir heute schon einmal gesprochen   – vor einem massiven Stellenabbau steht,40
4,sp19_21,Karsten Hilse,2017-11-21,"Frau Präsidentin! Werte Kollegen! Offensichtlich haben die Grünen das Thema „schneller Kohleausstieg“ in den letzten 24 Stunden wieder für sich entdeckt, Sie wollten Ihren jetzt wieder in den Vordergrund gebrachten schnellen Ausstieg aus der Kohle für den unbegrenzten Familiennachzug opfern. An den Visionen der Grünen sieht man, wie krank dieses Land in der Zwischenzeit ist, wie hier eine links-grüne Ideologie den gesunden Menschenverstand außer Kraft setzt. Niemand kann ein auch nur ansatzweise tragfähiges Konzept vorlegen, wie 234 Terawattstunden – Stand 2016 – aus der Kohleverstromung ersetzt werden sollen. Die sogenannte Energiewende ist eine Energiewende ins Nichts. Sie treibt den Strompreis für den Endverbraucher unnötig in die Höhe. Sie gefährdet die Versorgungssicherheit und führt letztendlich zu einer weiteren Deindustrialisierung Deutschlands. Und natürlich verfehlt Deutschland seine Klimaschutzziele.",Frau Präsidentin  Werte Kollegen  Offensichtlich haben die Grünen das Thema „ schneller Kohleausstieg “ in den letzten 24   Stunden wieder für sich entdeckt  Sie wollten Ihren jetzt wieder in den Vordergrund gebrachten schnellen Ausstieg aus der Kohle für den unbegrenzten Familiennachzug opfern  An den Visionen der Grünen sieht man  wie krank dieses Land in der Zwischenzeit ist  wie hier eine linksgrüne Ideologie den gesunden Menschenverstand außer Kraft setzt  Niemand kann ein auch nur ansatzweise tragfähiges Konzept vorlegen  wie 234   Terawattstunden   – Stand   2016   – aus der Kohleverstromung ersetzt werden sollen  Die sogenannte Energiewende ist eine Energiewende ins Nichts  Sie treibt den Strompreis für den Endverbraucher unnötig in die Höhe  Sie gefährdet die Versorgungssicherheit und führt letztendlich zu einer weiteren Deindustrialisierung Deutschlands  Und natürlich verfehlt Deutschland seine Klimaschutzziele,127
5,sp19_21,Karsten Hilse,2017-11-21,"Das kann auch gar nicht anders sein, weil mit dem sachlich unbegründeten Atomausstieg von 2011 der Kohleverstromung die Rolle des einzigen sicheren Rückgrats der Stromgrundlasterzeugung auferlegt wurde. Doch statt sich ehrlich zu diesem seit Jahren unerbittlich vorangetriebenen Vorgehen mit seinen unausweichlichen Konsequenzen zu bekennen, fordern sie noch mehr vom selben, nämlich den Kohleausstieg sofort einzuleiten, den Pariser Nonsenszielen oberste Priorität einzuräumen und der Globalen Allianz für den Kohleausstieg beizutreten, in der sich übrigens vorrangig Staaten zusammengefunden haben, deren Anteil an der Kohleverstromung niedrig bis marginal ist; Frau Dr. Weisgerber hatte das erwähnt. Sie fürchten zudem, dass der weitere internationale Verhandlungsprozess, in dem es jetzt darauf ankommt, das Klimaschutzabkommen von Paris wirksam auszugestalten, gefährdet sei. Gefährdet ist aber zuallererst unsere deutsche Industrie als Basis unseres Wohlstandes.",Das kann auch gar nicht anders sein  weil mit dem sachlich unbegründeten Atomausstieg von 2011 der Kohleverstromung die Rolle des einzigen sicheren Rückgrats der Stromgrundlasterzeugung auferlegt wurde  Doch statt sich ehrlich zu diesem seit Jahren unerbittlich vorangetriebenen Vorgehen mit seinen unausweichlichen Konsequenzen zu bekennen  fordern sie noch mehr vom selben  nämlich den Kohleausstieg sofort einzuleiten  den Pariser Nonsenszielen oberste Priorität einzuräumen und der Globalen Allianz für den Kohleausstieg beizutreten  in der sich übrigens vorrangig Staaten zusammengefunden haben  deren Anteil an der Kohleverstromung niedrig bis marginal ist  Frau Dr   Weisgerber hatte das erwähnt  Sie fürchten zudem  dass der weitere internationale Verhandlungsprozess  in dem es jetzt darauf ankommt  das Klimaschutzabkommen von Paris wirksam auszugestalten  gefährdet sei  Gefährdet ist aber zuallererst unsere deutsche Industrie als Basis unseres Wohlstandes,125
6,sp19_21,Karsten Hilse,2017-11-21,"Mit einem Kohleausstieg setzen wir die Deindustrialisierung Deutschlands fort. Was wollen Sie eigentlich? Die Welt retten, indem Sie Deutschland deindustrialisieren? Strompreisweltmeister werden, damit wir weniger Strom verbrauchen? Strommangel erzeugen und im selben Atemzug technologische Wunder vollbringen? Die volatilen erneuerbaren Energien von Wind und Sonne sind aufgrund ihrer immanenten Schwächen von Leistungsdichte und Unplanbarkeit unfähig, die Kohlekraftwerke zu ersetzen, egal mit wie viel Windrädern wir deutsche Kulturlandschaften verschandeln. Wie Frau Weisgerber erwähnt hat, ist der Anteil Deutschlands an den weltweit einsparbaren CO 2 -Emissionen marginal. Wer da von einem wichtigen Beitrag Deutschlands zur Senkung der CO 2 -Emissionen weltweit redet, um irgendwelche utopischen Klimaziele zu erreichen, will oder kann nicht rechnen.",Mit einem Kohleausstieg setzen wir die Deindustrialisierung Deutschlands fort  Was wollen Sie eigentlich  Die Welt retten  indem Sie Deutschland deindustrialisieren  Strompreisweltmeister werden  damit wir weniger Strom verbrauchen  Strommangel erzeugen und im selben Atemzug technologische Wunder vollbringen  Die volatilen erneuerbaren Energien von Wind und Sonne sind aufgrund ihrer immanenten Schwächen von Leistungsdichte und Unplanbarkeit unfähig  die Kohlekraftwerke zu ersetzen  egal mit wie viel Windrädern wir deutsche Kulturlandschaften verschandeln  Wie Frau Weisgerber erwähnt hat  ist der Anteil Deutschlands an den weltweit einsparbaren CO 2 Emissionen marginal  Wer da von einem wichtigen Beitrag Deutschlands zur Senkung der CO 2 Emissionen weltweit redet  um irgendwelche utopischen Klimaziele zu erreichen  will oder kann nicht rechnen,110
7,sp19_21,Karsten Hilse,2017-11-21,"Er gefährdet zudem absichtlich den Wohlstand und die Zukunft unseres Landes sowie Tausende von wertschöpfenden Arbeitsplätzen im Kohletagebau und in der Kraftwerkstechnik, zum Beispiel in der Lausitz, aber auch in anderen Teilen Deutschlands. Allein in der Lausitz, wo mich die Menschen als ihren direkten Wahlkreisvertreter in dieses Parlament entsandt haben, stehen circa 35 000 Arbeitsplätze von direkt oder indirekt in der Kohleindustrie Beschäftigten zur Disposition. Wir fordern daher, diesen Antrag abzulehnen, und werden das als AfD auch tun.",Er gefährdet zudem absichtlich den Wohlstand und die Zukunft unseres Landes sowie Tausende von wertschöpfenden Arbeitsplätzen im Kohletagebau und in der Kraftwerkstechnik  zum Beispiel in der Lausitz  aber auch in anderen Teilen Deutschlands  Allein in der Lausitz  wo mich die Menschen als ihren direkten Wahlkreisvertreter in dieses Parlament entsandt haben  stehen circa 35   000   Arbeitsplätze von direkt oder indirekt in der Kohleindustrie Beschäftigten zur Disposition  Wir fordern daher  diesen Antrag abzulehnen  und werden das als AfD auch tun,78
8,sp19_30,Steffen Kotré,2017-12-12,"Jetzt komme ich zu dem, was wir tun können, damit Massenentlassungen in der Zukunft der Vergangenheit angehören. Jahrelang ist die Bürokratie aufgebaut worden. Das ist ein Problem. Die Dokumentations- und Auskunftspflichten sind ausgeufert. Da haben wir Stellschrauben. Die schädliche Energiewende entzieht der Volkswirtschaft Milliarden von Euro. An diesen Stellschrauben müssen wir drehen. Nach meinem Eindruck hat sich hier mittlerweile stellenweise eine Verbots- und Alarmismuskultur entwickelt. An der Klimadiskussion sehen wir, wie wenig Sie sich bei der strategischen Ausrichtung der Wirtschaftspolitik an wissenschaftlich überprüfbare Kriterien halten. Da liegt der Hase im Pfeffer. Weil Siemens heute schon angesprochen worden ist: Ich kann mir kein Urteil über das Management von Siemens erlauben, aber eines weiß ich: Die Kraftwerkssparte war mal prosperierend. Warum ist sie das nicht mehr? Wegen der schädlichen Energiewende.",Jetzt komme ich zu dem  was wir tun können  damit Massenentlassungen in der Zukunft der Vergangenheit angehören  Jahrelang ist die Bürokratie aufgebaut worden  Das ist ein Problem  Die Dokumentations und Auskunftspflichten sind ausgeufert  Da haben wir Stellschrauben  Die schädliche Energiewende entzieht der Volkswirtschaft Milliarden von Euro  An diesen Stellschrauben müssen wir drehen  Nach meinem Eindruck hat sich hier mittlerweile stellenweise eine Verbots und Alarmismuskultur entwickelt  An der Klimadiskussion sehen wir  wie wenig Sie sich bei der strategischen Ausrichtung der Wirtschaftspolitik an wissenschaftlich überprüfbare Kriterien halten  Da liegt der Hase im Pfeffer  Weil Siemens heute schon angesprochen worden ist  Ich kann mir kein Urteil über das Management von Siemens erlauben  aber eines weiß ich  Die Kraftwerkssparte war mal prosperierend  Warum ist sie das nicht mehr  Wegen der schädlichen Energiewende,128
9,sp19_32,Armin-Paulus Hampel,2017-12-12,"Herr Kollege Theurer, stimmen Sie den Anmerkungen Ihres Vorredners zu, dass, während Sie in der Regierungsverantwortung waren, nach Fukushima der gesamte Anlagenbau durch die Energiewende in Deutschland plattgemacht worden ist und dass Siemens heute aus genau diesen Gründen Leute entlassen muss, weil aufgrund der Entscheidungen aus Ihrer Regierungszeit weder für Kohle-, Gas- noch andere Kraftwerke eine Zukunft existiert?",Herr Kollege Theurer  stimmen Sie den Anmerkungen Ihres Vorredners zu  dass  während Sie in der Regierungsverantwortung waren  nach Fukushima der gesamte Anlagenbau durch die Energiewende in Deutschland plattgemacht worden ist und dass Siemens heute aus genau diesen Gründen Leute entlassen muss  weil aufgrund der Entscheidungen aus Ihrer Regierungszeit weder für Kohle  Gas noch andere Kraftwerke eine Zukunft existiert,58
