,speech_id,date,speaker,party,text,text_tokenised
0,sp19_4,2017-11-21,Tino Chrupalla,AfD,"Aber auch die Grünen will ich nicht aus der Verantwortung entlassen. Schließlich hat die rot-grüne Regierung diese Fehlentwicklung eingeleitet. Sie alle, die Sie hier vor mir sitzen, haben sich der Klimaschutzideologie verschrieben","Grünen Verantwortung entlassen . Schließlich rot-grüne Regierung Fehlentwicklung eingeleitet . , sitzen , Klimaschutzideologie verschrieben"
1,sp19_4,2017-11-21,Tino Chrupalla,AfD,und ohne Rücksicht auf Verluste die Energiewende durchgedrückt.,Rücksicht Verluste Energiewende durchgedrückt .
2,sp19_4,2017-11-21,Tino Chrupalla,AfD,"Unter Ihrer Ägide wollte Deutschland Vorreiter in Sachen „globale Energiewende“ werden, allerdings ohne ein sauberes Konzept auszuarbeiten, wie dieser Wandel langfristig vonstattengehen soll. Betriebe müssen Planungssicherheit haben. Wir haben es hier jedoch mit einer kopflosen Energiepolitik zu tun, die unsere besten Unternehmen ins Straucheln bringt.","Ägide Deutschland Vorreiter Sachen „ globale Energiewende “ , sauberes Konzept auszuarbeiten , Wandel langfristig vonstattengehen . Betriebe Planungssicherheit . kopflosen Energiepolitik , Unternehmen Straucheln bringt ."
3,sp19_4,2017-11-21,Tino Chrupalla,AfD,"Die SPD hat diesen Irrsinn mitgetragen, anstatt sich über die Konsequenzen für die Arbeiter und deren Familien Gedanken zu machen. Eine der treibenden Kräfte in Sachen Energiewende waren die SPD-geführten Gewerkschaften, allen voran die IG Metall,","SPD Irrsinn mitgetragen , anstatt Konsequenzen Arbeiter Familien Gedanken . treibenden Kräfte Sachen Energiewende SPD-geführten Gewerkschaften , voran IG Metall ,"
4,sp19_4,2017-11-21,Tino Chrupalla,AfD,die sich sehr früh für den Klimaschutz starkmachten. Mit gesunden Heimatmärkten hätten wir das Problem nicht; aber die Vorgabe des Zentralkomitees in Berlin war nun einmal die totale Abkehr von fossilen Brennstoffen. Und jetzt haben wir das Nachsehen.,früh Klimaschutz starkmachten . gesunden Heimatmärkten Problem ; Vorgabe Zentralkomitees Berlin totale Abkehr fossilen Brennstoffen . Nachsehen .
5,sp19_4,2017-11-21,Tino Chrupalla,AfD,"Glücklicherweise geben Sie inzwischen selbst zu: Die Energiewende ist eine Farce. Ich zitiere die Aussage eines Fachmanns, die am Wochenende in der „Sächsischen Zeitung“ zu lesen war.","Glücklicherweise geben inzwischen : Energiewende Farce . zitiere Aussage Fachmanns , Wochenende „ Sächsischen Zeitung “ lesen ."
6,sp19_9,2017-11-21,Heiko Heßenkemper,AfD,Zurück zu Siemens. Hier ist jetzt die Kraftwerkssparte betroffen. Aber wer ist denn verantwortlich für die unstrukturierte Energiewende bei uns in Deutschland? Und global? Die von der politisch-medialen Klasse so gefeierten Klimaschutzziele und -abkommen gehen natürlich zulasten der Kraftwerksbauer. Hier wäre mehr Aufrichtigkeit gegenüber den betroffenen Arbeitnehmern zu wünschen.,Siemens . Kraftwerkssparte betroffen . verantwortlich unstrukturierte Energiewende Deutschland ? global ? politisch-medialen Klasse gefeierten Klimaschutzziele -abkommen zulasten Kraftwerksbauer . Aufrichtigkeit betroffenen Arbeitnehmern wünschen .
7,sp19_14,2017-11-21,Marc Bernhard,AfD,"Stattdessen führt jedoch eine von Ihnen grünäugig entworfene und von einem SPD-geführten Ministerium dilettantisch umgesetzte Energiewende dazu, dass ein weiterer Industriegigant – ich spreche hier von Siemens, darüber haben wir heute schon einmal gesprochen – vor einem massiven Stellenabbau steht.","Stattdessen führt grünäugig entworfene SPD-geführten Ministerium dilettantisch umgesetzte Energiewende , weiterer Industriegigant   – spreche Siemens , gesprochen   – massiven Stellenabbau steht ."
8,sp19_21,2017-11-21,Karsten Hilse,AfD,"Frau Präsidentin! Werte Kollegen! Offensichtlich haben die Grünen das Thema „schneller Kohleausstieg“ in den letzten 24 Stunden wieder für sich entdeckt,","! Werte ! Offensichtlich Grünen Thema „ schneller Kohleausstieg “ letzten 24   Stunden entdeckt ,"
9,sp19_21,2017-11-21,Karsten Hilse,AfD,Sie wollten Ihren jetzt wieder in den Vordergrund gebrachten schnellen Ausstieg aus der Kohle für den unbegrenzten Familiennachzug opfern.,Vordergrund gebrachten schnellen Ausstieg Kohle unbegrenzten Familiennachzug opfern .
10,sp19_21,2017-11-21,Karsten Hilse,AfD,"An den Visionen der Grünen sieht man, wie krank dieses Land in der Zwischenzeit ist, wie hier eine links-grüne Ideologie den gesunden Menschenverstand außer Kraft setzt. Niemand kann ein auch nur ansatzweise tragfähiges Konzept vorlegen, wie 234 Terawattstunden – Stand 2016 – aus der Kohleverstromung ersetzt werden sollen. Die sogenannte Energiewende ist eine Energiewende ins Nichts. Sie treibt den Strompreis für den Endverbraucher unnötig in die Höhe. Sie gefährdet die Versorgungssicherheit und führt letztendlich zu einer weiteren Deindustrialisierung Deutschlands.","Visionen Grünen sieht , krank Land Zwischenzeit , links-grüne Ideologie gesunden Menschenverstand Kraft setzt . ansatzweise tragfähiges Konzept vorlegen , 234   Terawattstunden   – Stand   2016   – Kohleverstromung ersetzt . sogenannte Energiewende Energiewende . treibt Strompreis Endverbraucher unnötig Höhe . gefährdet Versorgungssicherheit führt letztendlich Deindustrialisierung Deutschlands ."
