,id,author,date,text,text_tokenised,token_count
0,press_0,Leif-Erik Holm,2017-10-27,"Jamaika-Koalitionäre torpedieren deutsche Energiesicherheit Berlin, 27. Oktober 2017. Zur Ankündigung führender Politiker von CDU, FDP und Grünen bei den Sondierungsgesprächen, sich gegen die deutsch-russische Gaspipeline „Nord-Stream-2″ zu stellen, erklärt der stellvertretende Vorsitzende der AfD-Bundestagsfraktion Leif-Erik Holm: „Eine Abkehr von der lange geplanten deutsch-russischen Gaspipeline hätte negative Folgen für unsere Energiesicherheit, für die Strompreise und auch für unser Verhältnis zu Russland. Auf dem Altar transatlantischer und ökopopulistischer Interessen würden sehenden Auges deutsche Interessen geopfert. Zumal ein Stopp des sich bereits in der Genehmigungsphase befindlichen Projektes wohl auch Schadensersatzforderungen nach sich ziehen könnte. Lachhaft ist das Argument der Grünen, die Pipeline würde die Energiewende ausbremsen. Wir brauchen auch weiterhin grundlastfähige Kraftwerke.",JamaikaKoalitionäre torpedieren deutsche Energiesicherheit Berlin  27 Oktober 2017 Zur Ankündigung führender Politiker von CDU  FDP und Grünen bei den Sondierungsgesprächen  sich gegen die deutschrussische Gaspipeline „ NordStream2″ zu stellen  erklärt der stellvertretende Vorsitzende der AfDBundestagsfraktion LeifErik Holm  „ Eine Abkehr von der lange geplanten deutschrussischen Gaspipeline hätte negative Folgen für unsere Energiesicherheit  für die Strompreise und auch für unser Verhältnis zu Russland  Auf dem Altar transatlantischer und ökopopulistischer Interessen würden sehenden Auges deutsche Interessen geopfert  Zumal ein Stopp des sich bereits in der Genehmigungsphase befindlichen Projektes wohl auch Schadensersatzforderungen nach sich ziehen könnte  Lachhaft ist das Argument der Grünen  die Pipeline würde die Energiewende ausbremsen  Wir brauchen auch weiterhin grundlastfähige Kraftwerke,111
1,press_0,Leif-Erik Holm,2017-10-27,"Mit Zappelstrom aus Wind- und Solarenergie können wir keine stabile Stromversorgung sicherstellen. Es sollte auch aus Sicht grüner Betonköpfe logisch sein, dass Gaskraftwerke weniger sauberen Kohlekraftwerken vorzuziehen sind. Mit ihrer ideologisch verbrämten Kritik an der Gastraße machen die angehenden Jamaika-Koalitionäre deutlich, dass sie den energiepolitischen Unsinn der vergangenen Jahre auf Kosten der Stromverbraucher fortsetzen wollen. Offensichtlich ist noch nicht durchgedrungen, dass das planwirtschaftliche Experiment Energiewende krachend gescheitert ist. Die Strompreise erreichen jährlich neue Rekordwerte und unsere Landschaft wird mit immer mehr und immer größeren Monsteranlagen zugepflastert. Dass wir bei Wind- und Sonnenflaute Atomstrom aus unseren Nachbarländern importieren müssen, setzt dem ganzen die Krone des Irrsinns auf.",Mit Zappelstrom aus Wind und Solarenergie können wir keine stabile Stromversorgung sicherstellen  Es sollte auch aus Sicht grüner Betonköpfe logisch sein  dass Gaskraftwerke weniger sauberen Kohlekraftwerken vorzuziehen sind  Mit ihrer ideologisch verbrämten Kritik an der Gastraße machen die angehenden JamaikaKoalitionäre deutlich  dass sie den energiepolitischen Unsinn der vergangenen Jahre auf Kosten der Stromverbraucher fortsetzen wollen  Offensichtlich ist noch nicht durchgedrungen  dass das planwirtschaftliche Experiment Energiewende krachend gescheitert ist  Die Strompreise erreichen jährlich neue Rekordwerte und unsere Landschaft wird mit immer mehr und immer größeren Monsteranlagen zugepflastert  Dass wir bei Wind und Sonnenflaute Atomstrom aus unseren Nachbarländern importieren müssen  setzt dem ganzen die Krone des Irrsinns auf,106
2,press_0,Leif-Erik Holm,2017-10-27,"Ich bin wirklich gespannt, ob die Bundeskanzlerin mal wieder eine Rolle rückwärts hinlegt und das ‚Nord-Stream-2‘-Projekt für ihre Machtoption Jamaika opfert. Aus meiner Sicht ist Nord-Stream-2 ein wichtiger Baustein für eine vernunftbasierte Energiepolitik und für die Verbesserung der wichtigen deutsch-russischen Wirtschaftsbeziehungen.“",Ich bin wirklich gespannt  ob die Bundeskanzlerin mal wieder eine Rolle rückwärts hinlegt und das ‚ NordStream2‘Projekt für ihre Machtoption Jamaika opfert  Aus meiner Sicht ist NordStream2 ein wichtiger Baustein für eine vernunftbasierte Energiepolitik und für die Verbesserung der wichtigen deutschrussischen Wirtschaftsbeziehungen  “,43
3,press_1,Gauland / Weidel,2017-11-02,"Eine Regierung, die dieses Land auf der Grundlage eines absoluten Minimalkonsenses zu regieren versucht, wird unsere Probleme nicht lösen können. FDP und Union dürfen sich von den Grünen nicht kidnappen lassen und müssen sich gegen ihre absurden Forderungen vom Kohleausstieg bis hin zu den offenen Grenzen endlich durchsetzen. Andernfalls wird die kommende Regierung bereits jetzt zum Scheitern verurteilt sein.“",Eine Regierung  die dieses Land auf der Grundlage eines absoluten Minimalkonsenses zu regieren versucht  wird unsere Probleme nicht lösen können  FDP und Union dürfen sich von den Grünen nicht kidnappen lassen und müssen sich gegen ihre absurden Forderungen vom Kohleausstieg bis hin zu den offenen Grenzen endlich durchsetzen  Andernfalls wird die kommende Regierung bereits jetzt zum Scheitern verurteilt sein  “,60
4,press_2,,2017-11-03,"Fraktionsvize Peter Felser fordert Existenzsicherung für Landwirte Berlin, 3. November 2017. Die Jamaika-Vereinbarungen von Union, FDP und Grünen zur künftigen Agrarpolitik stellen die Existenzsorgen der deutschen Landwirte zu wenig in den Mittelpunkt. Das kritisierte der stellvertretende Vorsitzende der AfD-Bundestagsfraktion Peter Felser angesichts der bisherigen Ergebnisse bei den Sondierungsgesprächen der möglichen Koalitionspartner in Berlin. „Anstatt ideologielastig über klimaneutrale Landwirtschaft, Düngevorschriften und Ökowende zu diskutieren, sollten vor allem die Grünen sich Gedanken zur Existenzsicherung der 275.000 landwirtschaftlichen Betriebe in Deutschland machen“, sagte Felser. Deren Zahl sei seit 2010 um fast zehn Prozent geschrumpft. Die überwiegend als Familienbetrieb geführten Höfe bräuchten faire Preise für ihre produzierten Lebensmittel, Hilfen bei der Modernisierung und eine wirtschaftlich tragfähige Perspektive.",Fraktionsvize Peter Felser fordert Existenzsicherung für Landwirte Berlin  3 November 2017 Die JamaikaVereinbarungen von Union  FDP und Grünen zur künftigen Agrarpolitik stellen die Existenzsorgen der deutschen Landwirte zu wenig in den Mittelpunkt  Das kritisierte der stellvertretende Vorsitzende der AfDBundestagsfraktion Peter Felser angesichts der bisherigen Ergebnisse bei den Sondierungsgesprächen der möglichen Koalitionspartner in Berlin  „ Anstatt ideologielastig über klimaneutrale Landwirtschaft  Düngevorschriften und Ökowende zu diskutieren  sollten vor allem die Grünen sich Gedanken zur Existenzsicherung der 275000 landwirtschaftlichen Betriebe in Deutschland machen “  sagte Felser  Deren Zahl sei seit 2010 um fast zehn Prozent geschrumpft  Die überwiegend als Familienbetrieb geführten Höfe bräuchten faire Preise für ihre produzierten Lebensmittel  Hilfen bei der Modernisierung und eine wirtschaftlich tragfähige Perspektive,115
5,press_3,Alexander Gauland,2017-11-06,"Klimaschutz als Deckmantel für staatliche Abzocke Berlin, 6. November 2017. Der AfD-Fraktionsvorsitzende im Bundestag, Alexander Gauland, lehnt die Forderungen der Präsidentin des Umweltbundesamtes, Maria Krautzberger (SPD), unter anderem nach einer allgemeinen Maut für alle PKW auf sämtlichen Straßen, entschieden ab: „Mit ihren Forderungen macht SPD-Frau Krautzberger deutlich, wie abgehoben und realitätsfern die politischen Eliten der Altparteien inzwischen sind. Um vorgeblich das völlig willkürlich gesteckte Ziel einer Reduktion der deutschen Treibhausgasemissionen um 40 Prozent zu verwirklichen, sollen mal wieder die einfachen Bürger zur Kasse gebeten werden. Zu Kfz-Steuer, Öko-Steuer und Mineralölsteuer soll nun auch noch eine PKW-Maut für alle Straßen eingeführt werden. Das ist sowohl ökonomisch wie ökologisch völliger Unsinn. Die Menschen, die auf das Auto angewiesen sind, werden deshalb nicht weniger fahren, sie werden nur weiter geschröpft.",Klimaschutz als Deckmantel für staatliche Abzocke Berlin  6 November 2017 Der AfDFraktionsvorsitzende im Bundestag  Alexander Gauland  lehnt die Forderungen der Präsidentin des Umweltbundesamtes  Maria Krautzberger  SPD   unter anderem nach einer allgemeinen Maut für alle PKW auf sämtlichen Straßen  entschieden ab  „ Mit ihren Forderungen macht SPDFrau Krautzberger deutlich  wie abgehoben und realitätsfern die politischen Eliten der Altparteien inzwischen sind  Um vorgeblich das völlig willkürlich gesteckte Ziel einer Reduktion der deutschen Treibhausgasemissionen um 40 Prozent zu verwirklichen  sollen mal wieder die einfachen Bürger zur Kasse gebeten werden  Zu KfzSteuer  ÖkoSteuer und Mineralölsteuer soll nun auch noch eine PKWMaut für alle Straßen eingeführt werden  Das ist sowohl ökonomisch wie ökologisch völliger Unsinn  Die Menschen  die auf das Auto angewiesen sind  werden deshalb nicht weniger fahren  sie werden nur weiter geschröpft,128
6,press_3,Alexander Gauland,2017-11-06,"Wer, wie Frau Krautzenberger, hingegen mit dem vom Steuerzahler finanzierten Dienstwagen unterwegs ist, ist davon freilich nicht betroffen. Solche Vorhaben schaden lediglich dem Wirtschaftsstandort Deutschland und der breiten Bevölkerung. Eine Reduzierung des CO2-Ausstoßes wird damit kaum erreicht. Sie wäre auch ohnehin völlig unmaßgeblich. Der Anteil des gesamten Verkehrs - inklusive Bus, Bahn, Flugzeug und Schifffahrt - an den gesamten deutschen CO2-Emissionen liegt bei nicht mal 20 Prozent. Der Anteil Deutschlands an den weltweiten CO2-Emissionen liegt bei etwa zwei Prozent. Das zeigt die ganze Widersinnigkeit solcher Forderungen. Während den Leistungsträgern der Gesellschaft immer mehr Geld aus der Tasche gezogen wird, sollen hingegen E-Autos subventioniert werden. Die Wohlhabenden, die sich einen teuren Tesla leisten können, dürfen sich also freuen. Nicht nur, dass sie sich in elitären Kreisen, als Weltretter feiern lassen können, sie sollen auch noch kräftig Geld damit sparen.",Wer  wie Frau Krautzenberger  hingegen mit dem vom Steuerzahler finanzierten Dienstwagen unterwegs ist  ist davon freilich nicht betroffen  Solche Vorhaben schaden lediglich dem Wirtschaftsstandort Deutschland und der breiten Bevölkerung  Eine Reduzierung des CO2Ausstoßes wird damit kaum erreicht  Sie wäre auch ohnehin völlig unmaßgeblich  Der Anteil des gesamten Verkehrs  inklusive Bus  Bahn  Flugzeug und Schifffahrt  an den gesamten deutschen CO2Emissionen liegt bei nicht mal 20 Prozent  Der Anteil Deutschlands an den weltweiten CO2Emissionen liegt bei etwa zwei Prozent  Das zeigt die ganze Widersinnigkeit solcher Forderungen  Während den Leistungsträgern der Gesellschaft immer mehr Geld aus der Tasche gezogen wird  sollen hingegen EAutos subventioniert werden  Die Wohlhabenden  die sich einen teuren Tesla leisten können  dürfen sich also freuen  Nicht nur  dass sie sich in elitären Kreisen  als Weltretter feiern lassen können  sie sollen auch noch kräftig Geld damit sparen,136
7,press_4,Stephan Brandner,2017-11-06,"Deutsche Klimapolitik ist sozial ungerecht, wirtschaftsfeindlich und gefährlich Berlin, 6. November 2017. Zum Auftakt der heute in Bonn beginnenden Klimakonferenz wird wie so oft in der Vergangenheit ein noch stärkerer Ausbau der erneuerbaren Energien gefordert. Inzwischen werden sogar gänzlich widersinnige Vergleiche mit dem angeblichen Klimawunderland China gezogen, hinter dem Deutschland zurückbleiben würde. Stephan Brandner, Bundestagsabgeordneter und Vorsitzender der AfD-Landesgruppe Thüringen, fehlen die kritischen Stimmen, die auf die zahlreichen Verfehlungen der letzten Jahre hinweisen: „Die deutsche Klimapolitik ist teuer, unsozial, hochgradig wirtschaftsfeindlich und gefährlich. In den vergangenen Jahren ist es nicht gelungen, den mantrahaft beschworenen CO2-Ausstoß zu senken. Trotzdem und stattdessen sind aber die Strompreise auf Rekordhöhe gestiegen.",Deutsche Klimapolitik ist sozial ungerecht  wirtschaftsfeindlich und gefährlich Berlin  6 November 2017 Zum Auftakt der heute in Bonn beginnenden Klimakonferenz wird wie so oft in der Vergangenheit ein noch stärkerer Ausbau der erneuerbaren Energien gefordert  Inzwischen werden sogar gänzlich widersinnige Vergleiche mit dem angeblichen Klimawunderland China gezogen  hinter dem Deutschland zurückbleiben würde  Stephan Brandner  Bundestagsabgeordneter und Vorsitzender der AfDLandesgruppe Thüringen  fehlen die kritischen Stimmen  die auf die zahlreichen Verfehlungen der letzten Jahre hinweisen  „ Die deutsche Klimapolitik ist teuer  unsozial  hochgradig wirtschaftsfeindlich und gefährlich  In den vergangenen Jahren ist es nicht gelungen  den mantrahaft beschworenen CO2Ausstoß zu senken  Trotzdem und stattdessen sind aber die Strompreise auf Rekordhöhe gestiegen,108
8,press_4,Stephan Brandner,2017-11-06,"Vor allem Familien, Geringverdiener und mittelständische Unternehmen werden für dieses Ideologieprojekt zur Kassen gebeten, mit dem sich internationale Kapitalgesellschaften in Zeiten der Nullzins-Politik eine garantierte Rendite mit staatlicher Unterstützung sichern. Wir brauchen eine ernsthafte Diskussion hinsichtlich Versorgungssicherheit und Umweltschutz, vor allem aber mit Blick auf die Bezahlbarkeit. Es steht zu befürchten, dass auf der Bonner Klimakonferenz davon nichts und stattdessen quasireligiöses Geschwafel zu hören sein wird. Wenn ich höre, dass China in Umweltfragen weiter sei, als Deutschland, dann wird klar, dass es nur um einen blinden Ausbau der Erneuerbaren gehen wird - ohne aber den Nutzen zu prüfen. Wenn die 25.000 Leute, die in Bonn erwartet werden, zu Hause geblieben wären, hätte es dem Klima mehr genutzt.“",Vor allem Familien  Geringverdiener und mittelständische Unternehmen werden für dieses Ideologieprojekt zur Kassen gebeten  mit dem sich internationale Kapitalgesellschaften in Zeiten der NullzinsPolitik eine garantierte Rendite mit staatlicher Unterstützung sichern  Wir brauchen eine ernsthafte Diskussion hinsichtlich Versorgungssicherheit und Umweltschutz  vor allem aber mit Blick auf die Bezahlbarkeit  Es steht zu befürchten  dass auf der Bonner Klimakonferenz davon nichts und stattdessen quasireligiöses Geschwafel zu hören sein wird  Wenn ich höre  dass China in Umweltfragen weiter sei  als Deutschland  dann wird klar  dass es nur um einen blinden Ausbau der Erneuerbaren gehen wird  ohne aber den Nutzen zu prüfen  Wenn die 25000 Leute  die in Bonn erwartet werden  zu Hause geblieben wären  hätte es dem Klima mehr genutzt  “,117
9,press_5,Steffen Kotré,2017-11-07,"Nutzlose Klimakonferenz COP 23 kostet uns 117 Millionen Euro Berlin, 7. November 2017. Der AfD-Bundestagsabgeordnete Steffen Kotré bezweifelt den Nutzen der Klimakonferenz in Bonn und kritisiert die hohen Kosten für die Steuerzahler: „Die Klimakonferenz in Bonn COP 23 kostet die deutschen Steuerzahler rund 117 Millionen Euro. Teilnehmer sind überwiegend NGO‘s aus Nehmerländern, die weitere Gelder bekommen wollen. Doch Tatsache ist: Bisher haben noch keine Konferenzen und Maßnahmen irgendetwas am Klima verändert. Ohne wissenschaftliche Grundlage wird behauptet, dass die Reduzierung der CO2-Emission das Klima retten könnte. Der Weltklimarat IPCC nutzt dazu Computermodelle, die die Realität aber nicht abbilden können. Zahlreiche Untergangsszenarien sind nicht eingetreten. So bleibt zum Beispiel die globale Mitteltemperatur - eine rein statistische Größe - weitgehend stabil. Klimahysterie und Alarmismus helfen nicht weiter, um komplexe Probleme zu lösen.",Nutzlose Klimakonferenz COP 23 kostet uns 117 Millionen Euro Berlin  7 November 2017 Der AfDBundestagsabgeordnete Steffen Kotré bezweifelt den Nutzen der Klimakonferenz in Bonn und kritisiert die hohen Kosten für die Steuerzahler  „ Die Klimakonferenz in Bonn COP 23 kostet die deutschen Steuerzahler rund 117 Millionen Euro  Teilnehmer sind überwiegend NGO ‘ s aus Nehmerländern  die weitere Gelder bekommen wollen  Doch Tatsache ist  Bisher haben noch keine Konferenzen und Maßnahmen irgendetwas am Klima verändert  Ohne wissenschaftliche Grundlage wird behauptet  dass die Reduzierung der CO2Emission das Klima retten könnte  Der Weltklimarat IPCC nutzt dazu Computermodelle  die die Realität aber nicht abbilden können  Zahlreiche Untergangsszenarien sind nicht eingetreten  So bleibt zum Beispiel die globale Mitteltemperatur  eine rein statistische Größe  weitgehend stabil  Klimahysterie und Alarmismus helfen nicht weiter  um komplexe Probleme zu lösen,130
