,speech_id,date,period,speaker,party,text,text_tokenised,agenda,speechnumber,chair,MEP,commission
0,eu9_2311,2024-03-12,9,Sylvia Limmer,ID,"Frau Präsidentin, Herr Kommissar! Nun hat also die Europäische Umweltagentur eine Klima-Risikoanalyse veröffentlicht. Natürlich fehlen auch in diesem Bericht die angeblich hunderttausenden apokalyptischen Klimatoten nicht – womit sich für mich diese EU-Agentur ebenfalls wissenschaftlich schlicht selbst delegitimiert hat.",", ! Europäische Umweltagentur Klima-Risikoanalyse veröffentlicht . fehlen Bericht angeblich hunderttausenden apokalyptischen Klimatoten   – womit EU-Agentur ebenfalls wissenschaftlich schlicht delegitimiert .","15. EU climate risk assessment, taking urgent action to improve security and resilience in Europe (debate)",15,False,True,False
1,eu9_2311,2024-03-12,9,Sylvia Limmer,ID,"Ja, die Erfolgsgeschichte der Menschheit beruht auf einer Anpassung an ein sich kontinuierlich wandelndes Klima. Und nein, nicht CO2, sondern Wasserdampf ist das wichtigste Treibhausgas. Wollen Sie jetzt Wasser verbieten?",", Erfolgsgeschichte Menschheit beruht Anpassung kontinuierlich wandelndes Klima . , CO2 , Wasserdampf wichtigste Treibhausgas . Wasser verbieten ?","15. EU climate risk assessment, taking urgent action to improve security and resilience in Europe (debate)",15,False,True,False
2,eu9_2311,2024-03-12,9,Sylvia Limmer,ID,"Und ebenfalls: Nein, es gibt weder einen vorindustriellen noch einen prähistorischen CO2-Gleichgewichtswert, der Ihre ausschließliche Fokussierung auf dieses Spurengas der Atmosphäre auch nur ansatzweise rechtfertigen würde. An welchem Punkt glauben Sie eigentlich, das Weltklima kraft Ideologie und Gesetz arretieren zu können?","ebenfalls : , weder vorindustriellen prähistorischen CO2-Gleichgewichtswert , ausschließliche Fokussierung Spurengas Atmosphäre ansatzweise rechtfertigen . Punkt glauben eigentlich , Weltklima kraft Ideologie Gesetz arretieren ?","15. EU climate risk assessment, taking urgent action to improve security and resilience in Europe (debate)",15,False,True,False
3,eu9_2311,2024-03-12,9,Sylvia Limmer,ID,"Nicht irgendein ominöser Klimaschutz, sondern Umweltschutz, Nahrungsmittelsicherheit und ökonomische und soziale Sicherheit sind das Gebot der Stunde.","irgendein ominöser Klimaschutz , Umweltschutz , Nahrungsmittelsicherheit ökonomische soziale Sicherheit Gebot Stunde .","15. EU climate risk assessment, taking urgent action to improve security and resilience in Europe (debate)",15,False,True,False
4,eu9_2311,2024-03-12,9,Sylvia Limmer,ID,"Stattdessen steigen die CO2-Klimajünger mit ihrer nur als irre zu bezeichnenden Green-Deal-Klimaideologie intellektuell auf genau jene Bäume, die unsere Vorfahren in grauer Vorzeit einst verlassen haben. Übrigens waren sich in den 1970er-Jahren ebenfalls 97 % der Klimaapostel ziemlich sicher, dass wir alle in einer neuen Eiszeit erfrieren werden.","Stattdessen steigen CO2-Klimajünger irre bezeichnenden Green-Deal-Klimaideologie intellektuell genau Bäume , Vorfahren grauer Vorzeit einst verlassen . 1970er-Jahren ebenfalls 97   % Klimaapostel ziemlich sicher , Eiszeit erfrieren .","15. EU climate risk assessment, taking urgent action to improve security and resilience in Europe (debate)",15,False,True,False
5,eu9_2680,2024-03-11,9,Gunnar Beck,ID,"Letzten Monat drohte EZB-Direktor Elderson allen Mitarbeitern mit Entlassung, die – Zitat – „die Realität des allein menschengemachten Klimawandels leugnen, oder dass der Klimawandel die Preisstabilität gefährdet“. Als Konservativer nun freue ich mich über jeden, der glaubt, früher war vieles besser.","Letzten Monat drohte EZB-Direktor Elderson Mitarbeitern Entlassung ,   – Zitat   – „ Realität menschengemachten Klimawandels leugnen , Klimawandel Preisstabilität gefährdet “ . Konservativer freue , glaubt , vieles .",21. One-minute speeches on matters of political importance,19,False,True,False
6,eu9_2680,2024-03-11,9,Gunnar Beck,ID,"Aber die EZB sollte lieber ihre Klimainquisitoren gegen gute Wirtschaftshistoriker austauschen, die wissen, dass nicht der Klimawandel die Inflation beflügelt, sondern die Ausweitung der Geldmenge, so wie es Hans de Witte und Wallenstein zur Zeit Galileos so hemmungslos betrieben.","EZB Klimainquisitoren Wirtschaftshistoriker austauschen , wissen , Klimawandel Inflation beflügelt , Ausweitung Geldmenge , Hans de Witte Wallenstein Galileos hemmungslos betrieben .",21. One-minute speeches on matters of political importance,19,False,True,False
7,eu9_2680,2024-03-11,9,Gunnar Beck,ID,Denn ihre Klimadogmen und Geldpolitik sind der größte Hokuspokus in Europa seit dem geozentrischen Weltbild.,Klimadogmen Geldpolitik größte Hokuspokus Europa geozentrischen Weltbild .,21. One-minute speeches on matters of political importance,19,False,True,False
8,eu9_2980,2024-02-28,9,Gunnar Beck,ID,"So, why is Europe so manifestly and collectively failing? First, because of the Green Deal which assumes that the EU, with a share of about 8% of worldwide CO2 emissions, can singlehandedly limit global warming. The Green Deal is saving nothing, but it will certainly make poor people even poorer.",", why is Europe manifestly and collectively failing ? First , because of the Green Deal which assumes that the EU , with share of about 8 % of worldwide CO2 emissions , can singlehandedly limit global warming . The Green Deal is saving nothing , but it certainly make poor people even poorer .",12. Regaining our competitive edge - a prosperous EU in a fragmented global economy (topical debate),10,False,True,False
9,eu9_3763,2024-02-26,9,Jörg Meuthen,NI,"Abseits des geradezu autoritären Charakters dieser Äußerungen sagt Elderson hiermit, dass der freie Geist der Beschäftigten zum Verständnis der grünen EZB-Zielsetzungen nicht ausreiche. Allerdings: Klimapolitik gehört auch definitiv nicht zum Aufgabenbereich der Zentralbank. Deren Mandat lautet nach den Verträgen, Preisstabilität zu gewährleisten.","Abseits geradezu autoritären Charakters Äußerungen Elderson hiermit , freie Geist Beschäftigten Verständnis grünen EZB-Zielsetzungen ausreiche . : Klimapolitik gehört definitiv Aufgabenbereich Zentralbank . Mandat lautet Verträgen , Preisstabilität gewährleisten .",15. European Central Bank – annual report 2023 (debate),12,False,True,False
