,url,date,author,text,text_tokenised
0,"https://afdbundestag.de/leif-erik-holm-jamaika-koalitionaere-torpedieren-deutsche-energiesicherheit/
",2017-10-27,Leif-Erik Holm,"Lachhaft ist das Argument der Grünen, die Pipeline würde die Energiewende ausbremsen. Wir brauchen auch weiterhin grundlastfähige Kraftwerke. Mit Zappelstrom aus Wind- und Solarenergie können wir keine stabile Stromversorgung sicherstellen.","Lachhaft Argument Grünen , Pipeline Energiewende ausbremsen . brauchen weiterhin grundlastfähige Kraftwerke . Zappelstrom Wind- Solarenergie stabile Stromversorgung sicherstellen ."
1,"https://afdbundestag.de/leif-erik-holm-jamaika-koalitionaere-torpedieren-deutsche-energiesicherheit/
",2017-10-27,Leif-Erik Holm,"Es sollte auch aus Sicht grüner Betonköpfe logisch sein, dass Gaskraftwerke weniger sauberen Kohlekraftwerken vorzuziehen sind. Mit ihrer ideologisch verbrämten Kritik an der Gastraße machen die angehenden Jamaika-Koalitionäre deutlich, dass sie den energiepolitischen Unsinn der vergangenen Jahre auf Kosten der Stromverbraucher fortsetzen wollen.","Sicht grüner Betonköpfe logisch , Gaskraftwerke sauberen Kohlekraftwerken vorzuziehen . ideologisch verbrämten Kritik Gastraße angehenden Jamaika-Koalitionäre deutlich , energiepolitischen Unsinn Kosten Stromverbraucher fortsetzen ."
2,"https://afdbundestag.de/leif-erik-holm-jamaika-koalitionaere-torpedieren-deutsche-energiesicherheit/
",2017-10-27,Leif-Erik Holm,"Offensichtlich ist noch nicht durchgedrungen, dass das planwirtschaftliche Experiment Energiewende krachend gescheitert ist. Die Strompreise erreichen jährlich neue Rekordwerte und unsere Landschaft wird mit immer mehr und immer größeren Monsteranlagen zugepflastert.","Offensichtlich durchgedrungen , planwirtschaftliche Experiment Energiewende krachend gescheitert . Strompreise erreichen jährlich Rekordwerte Landschaft größeren Monsteranlagen zugepflastert ."
3,"https://afdbundestag.de/gauland-weidel-jamaika-kommt-nicht-vom-fleck/
",2017-11-02,Gauland / Weidel,FDP und Union dürfen sich von den Grünen nicht kidnappen lassen und müssen sich gegen ihre absurden Forderungen vom Kohleausstieg bis hin zu den offenen Grenzen endlich durchsetzen. Andernfalls wird die kommende Regierung bereits jetzt zum Scheitern verurteilt sein.“,FDP Union Grünen kidnappen lassen absurden Forderungen Kohleausstieg offenen Grenzen durchsetzen . Andernfalls kommende Regierung Scheitern verurteilt . “
4,"https://afdbundestag.de/fraktionsvize-peter-felser-fordert-existenzsicherung-fuer-landwirte/
",2017-11-03,,"„Anstatt ideologielastig über klimaneutrale Landwirtschaft, Düngevorschriften und Ökowende zu diskutieren, sollten vor allem die Grünen sich Gedanken zur Existenzsicherung der 275.000 landwirtschaftlichen Betriebe in Deutschland machen“, sagte Felser. Deren Zahl sei seit 2010 um fast zehn Prozent geschrumpft.","„ Anstatt ideologielastig klimaneutrale Landwirtschaft , Düngevorschriften Ökowende diskutieren , Grünen Gedanken Existenzsicherung 275.000 landwirtschaftlichen Betriebe Deutschland “ , Felser . Zahl 2010 fast Prozent geschrumpft ."
5,"https://afdbundestag.de/alexander-gauland-klimaschutz-als-deckmantel-fuer-staatliche-abzocke/
",2017-11-06,Alexander Gauland,"Klimaschutz als Deckmantel für staatliche Abzocke Berlin, 6. November 2017.","Klimaschutz Deckmantel staatliche Abzocke Berlin , 6. November 2017."
6,"https://afdbundestag.de/alexander-gauland-klimaschutz-als-deckmantel-fuer-staatliche-abzocke/
",2017-11-06,Alexander Gauland,"politischen Eliten der Altparteien inzwischen sind. Um vorgeblich das völlig willkürlich gesteckte Ziel einer Reduktion der deutschen Treibhausgasemissionen um 40 Prozent zu verwirklichen, sollen mal wieder die einfachen Bürger zur Kasse gebeten werden.","politischen Eliten Altparteien inzwischen . vorgeblich völlig willkürlich gesteckte Ziel Reduktion deutschen Treibhausgasemissionen 40 Prozent verwirklichen , mal einfachen Bürger Kasse gebeten ."
7,"https://afdbundestag.de/alexander-gauland-klimaschutz-als-deckmantel-fuer-staatliche-abzocke/
",2017-11-06,Alexander Gauland,"Wer, wie Frau Krautzenberger, hingegen mit dem vom Steuerzahler finanzierten Dienstwagen unterwegs ist, ist davon freilich nicht betroffen. Solche Vorhaben schaden lediglich dem Wirtschaftsstandort Deutschland und der breiten Bevölkerung. Eine Reduzierung des CO2-Ausstoßes wird damit kaum erreicht. Sie wäre auch ohnehin völlig unmaßgeblich.",", Krautzenberger , hingegen Steuerzahler finanzierten Dienstwagen unterwegs , freilich betroffen . Vorhaben schaden lediglich Wirtschaftsstandort Deutschland breiten Bevölkerung . Reduzierung CO2-Ausstoßes erreicht . ohnehin völlig unmaßgeblich ."
8,"https://afdbundestag.de/alexander-gauland-klimaschutz-als-deckmantel-fuer-staatliche-abzocke/
",2017-11-06,Alexander Gauland,"Der Anteil des gesamten Verkehrs - inklusive Bus, Bahn, Flugzeug und Schifffahrt - an den gesamten deutschen CO2-Emissionen liegt bei nicht mal 20 Prozent. Der Anteil Deutschlands an den weltweiten CO2-Emissionen liegt bei etwa zwei Prozent. Das zeigt die ganze Widersinnigkeit solcher Forderungen.","Anteil gesamten Verkehrs - inklusive Bus , Bahn , Flugzeug Schifffahrt - gesamten deutschen CO2-Emissionen liegt mal 20 Prozent . Anteil Deutschlands weltweiten CO2-Emissionen liegt Prozent . zeigt Widersinnigkeit Forderungen ."
9,"https://afdbundestag.de/stephan-brandner-deutsche-klimapolitik-ist-sozial-ungerecht-wirtschaftsfeindlich-und-gefaehrlich/
",2017-11-06,Stephan Brandner,"Deutsche Klimapolitik ist sozial ungerecht, wirtschaftsfeindlich und gefährlich Berlin, 6. November 2017. Zum Auftakt der heute in Bonn beginnenden Klimakonferenz wird wie so oft in der Vergangenheit ein noch stärkerer Ausbau der erneuerbaren Energien gefordert.","Deutsche Klimapolitik sozial ungerecht , wirtschaftsfeindlich gefährlich Berlin , 6. November 2017. Auftakt Bonn beginnenden Klimakonferenz Vergangenheit stärkerer Ausbau erneuerbaren Energien gefordert ."
10,"https://afdbundestag.de/stephan-brandner-deutsche-klimapolitik-ist-sozial-ungerecht-wirtschaftsfeindlich-und-gefaehrlich/
",2017-11-06,Stephan Brandner,"Inzwischen werden sogar gänzlich widersinnige Vergleiche mit dem angeblichen Klimawunderland China gezogen, hinter dem Deutschland zurückbleiben würde.","Inzwischen sogar gänzlich widersinnige Vergleiche angeblichen Klimawunderland China gezogen , Deutschland zurückbleiben ."
